Rank,Model,Accuracy (%),Avg Confidence (%),Correct Conf (%),Samples
🥇,YOLOv8s,99.99172938549334,99.98712350619992,99.98731881355431,12091
🥈,YOLOv8n,99.98345877098669,99.97707061915074,99.9817858924443,12091
🥉,YOLOv11n,99.97518815648002,99.98833940299488,99.99174159895419,12091
4th,YOLOv11s,99.96691754197336,99.98696840595207,99.99130624611108,12091
5th,ResNet18,99.80150525184021,99.40081834793091,99.49452877044678,12091
