epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8543,1.18681,2.0591,1.48085,0.39233,0.22211,0.18456,0.09608,1.91835,4.79626,2.23523,0.0700872,0.00332364,0.00332364
2,80.9095,1.23256,1.68467,1.49318,0.40321,0.18532,0.19518,0.0891,2.37517,3.72304,3.02625,0.0400807,0.00665047,0.00665047
3,118.653,1.07166,1.36937,1.38077,0.71094,0.56051,0.6489,0.43516,1.27671,1.88882,1.62027,0.0100482,0.00995132,0.00995132
4,156.193,0.99657,1.20259,1.32428,0.80626,0.70745,0.8114,0.61398,0.97828,1.10942,1.35057,0.00991232,0.00991232,0.00991232
5,193.884,0.9295,1.07428,1.27675,0.80619,0.71638,0.83254,0.64627,0.83589,0.98078,1.22892,0.00984449,0.00984449,0.00984449
6,231.322,0.87196,0.98593,1.23573,0.89091,0.86139,0.92946,0.79952,0.58086,0.66001,1.00883,0.00975773,0.00975773,0.00975773
7,268.979,0.82806,0.90836,1.20637,0.87574,0.79181,0.88246,0.73781,0.67595,0.79726,1.05999,0.00965239,0.00965239,0.00965239
8,306.198,0.78733,0.848,1.18689,0.93096,0.88022,0.94289,0.82202,0.54262,0.54569,0.9792,0.00952889,0.00952889,0.00952889
9,343.515,0.76505,0.81284,1.17141,0.95206,0.8812,0.94389,0.85116,0.49047,0.47013,0.93645,0.00938772,0.00938772,0.00938772
10,381.218,0.73845,0.77233,1.15594,0.93751,0.92117,0.9537,0.86012,0.45547,0.4524,0.91051,0.00922942,0.00922942,0.00922942
11,418.602,0.73071,0.75312,1.14767,0.93405,0.89193,0.95096,0.86047,0.47028,0.4546,0.92817,0.00905463,0.00905463,0.00905463
12,456.245,0.71177,0.73347,1.13709,0.96387,0.9333,0.96459,0.89722,0.40137,0.37486,0.87647,0.00886404,0.00886404,0.00886404
13,493.956,0.68779,0.70561,1.12374,0.96415,0.92307,0.96261,0.88544,0.41889,0.38936,0.90143,0.00865839,0.00865839,0.00865839
14,531.736,0.67126,0.67409,1.11128,0.96909,0.92367,0.96333,0.89387,0.4106,0.36038,0.8787,0.00843851,0.00843851,0.00843851
