epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,408.145,0.75521,0.99556,0.99941,0.01958,0.000255813,0.000255813,0.000255813
2,814.213,0.05913,0.99763,0.9997,0.00825,0.000491866,0.000491866,0.000491866
3,1211.89,0.05231,0.99674,1,0.00954,0.000707616,0.000707616,0.000707616
4,1606.54,0.04185,0.99881,1,0.00364,0.000677643,0.000677643,0.000677643
5,2002.95,0.03526,0.99852,1,0.00325,0.00064719,0.00064719,0.00064719
6,2395.39,0.02624,0.9997,1,0.00118,0.000616738,0.000616738,0.000616738
7,2790.92,0.01764,0.9997,1,0.00164,0.000586286,0.000586286,0.000586286
8,3184.85,0.01707,0.99941,1,0.00185,0.000555833,0.000555833,0.000555833
9,3581.47,0.01312,1,1,0.00086,0.000525381,0.000525381,0.000525381
10,3976.81,0.01273,1,1,0.00057,0.000494928,0.000494928,0.000494928
11,4373.43,0.01737,1,1,0.00053,0.000464476,0.000464476,0.000464476
12,4768.05,0.01063,1,1,0.00011,0.000434024,0.000434024,0.000434024
13,5175.32,0.01192,1,1,0.0005,0.000403571,0.000403571,0.000403571
14,5585.64,0.01204,1,1,0.00013,0.000373119,0.000373119,0.000373119
15,5995.09,0.00653,1,1,0.0004,0.000342666,0.000342666,0.000342666
16,6399.96,0.00769,0.99941,1,0.0008,0.000312214,0.000312214,0.000312214
17,6802.85,0.00833,0.99941,1,0.00086,0.000281762,0.000281762,0.000281762
18,7207.46,0.00565,0.99941,1,0.00086,0.000251309,0.000251309,0.000251309
19,7608.42,0.00754,0.9997,1,0.00064,0.000220857,0.000220857,0.000220857
20,8006.21,0.00444,0.9997,1,0.00031,0.000190404,0.000190404,0.000190404
21,8402.05,0.00481,0.9997,1,0.00074,0.000159952,0.000159952,0.000159952
22,8801.26,0.00486,0.9997,1,0.00047,0.0001295,0.0001295,0.0001295
23,9202.66,0.00447,0.9997,1,0.00041,9.90472e-05,9.90472e-05,9.90472e-05
24,9609.81,0.00326,1,1,0.00025,6.85948e-05,6.85948e-05,6.85948e-05
25,10006.5,0.00387,1,1,0.00019,3.81424e-05,3.81424e-05,3.81424e-05
