Class,Precision,Recall,F1-Score,Support
computer_mouse,1.0,0.9946666666666667,0.9973262032085561,375
keyboard,0.9946949602122016,1.0,0.9973404255319148,375
laptop,0.9920634920634921,1.0,0.9960159362549801,375
mobile_phone,1.0,1.0,1.0,375
monitor,1.0,0.9946666666666667,0.9973262032085561,375
notebook,1.0,1.0,1.0,375
office_chair,1.0,1.0,1.0,375
pen,1.0,0.9973333333333333,0.9986648865153538,375
water_bottle,1.0,1.0,1.0,375
