epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.9847,0.7886,0.99888,1,0.01146,0.000237466,0.000237466,0.000237466
2,74.793,0.03208,0.99888,1,0.00423,0.000456638,0.000456638,0.000456638
3,113.621,0.02264,1,1,0.00105,0.00065696,0.00065696,0.00065696
4,152.035,0.02039,0.99944,1,0.00139,0.000629177,0.000629177,0.000629177
5,190.191,0.01057,1,1,0.00035,0.000600902,0.000600902,0.000600902
6,228.836,0.01026,1,1,0.00044,0.000572628,0.000572628,0.000572628
7,267.124,0.00931,1,1,0.00028,0.000544354,0.000544354,0.000544354
8,305.238,0.01202,1,1,0.00024,0.000516079,0.000516079,0.000516079
9,343.055,0.00525,0.99944,1,0.00067,0.000487805,0.000487805,0.000487805
10,380.913,0.00577,1,1,0.00069,0.00045953,0.00045953,0.00045953
11,419.389,0.00532,0.99944,1,0.00101,0.000431256,0.000431256,0.000431256
12,457.166,0.00627,1,1,6e-05,0.000402982,0.000402982,0.000402982
13,495.558,0.0034,1,1,9e-05,0.000374707,0.000374707,0.000374707
