epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4228,1.19855,2.01175,1.4811,0.56048,0.27885,0.25343,0.1231,2.10941,3.32553,2.62361,0.069378,0.00266279,0.00266279
2,105.459,1.2099,1.66691,1.47231,0.75978,0.67608,0.7612,0.54141,1.06746,1.32658,1.38924,0.0385354,0.00515358,0.00515358
3,153.351,1.07667,1.37863,1.37752,0.85988,0.75521,0.87646,0.66281,0.85041,0.92297,1.22064,0.00751689,0.00746837,0.00746837
4,200.916,0.98835,1.20329,1.32002,0.84093,0.78328,0.88157,0.71222,0.74394,0.84728,1.12832,0.007208,0.007208,0.007208
5,248.556,0.90378,1.04366,1.25912,0.88229,0.8817,0.92894,0.79679,0.59808,0.61203,1.00845,0.006944,0.006944,0.006944
6,297.59,0.85398,0.96285,1.22523,0.87065,0.83676,0.92753,0.80393,0.57952,0.65765,1.00223,0.00668,0.00668,0.00668
7,345.71,0.80186,0.89413,1.19501,0.93984,0.90515,0.95019,0.82957,0.55108,0.50975,0.98274,0.006416,0.006416,0.006416
8,393.476,0.77029,0.85414,1.17813,0.9383,0.93026,0.95942,0.86386,0.46629,0.43437,0.9266,0.006152,0.006152,0.006152
9,442.161,0.7581,0.81322,1.16943,0.94024,0.94048,0.95993,0.88589,0.41885,0.41528,0.88998,0.005888,0.005888,0.005888
10,490.409,0.72228,0.77128,1.14501,0.96062,0.90722,0.96031,0.87745,0.43831,0.42426,0.90314,0.005624,0.005624,0.005624
11,537.706,0.70298,0.73341,1.13188,0.95585,0.93616,0.96359,0.89405,0.40491,0.37069,0.87574,0.00536,0.00536,0.00536
12,585.43,0.68492,0.71592,1.1216,0.9747,0.9303,0.96317,0.90015,0.38078,0.35273,0.86154,0.005096,0.005096,0.005096
13,633.121,0.66556,0.69091,1.1113,0.96634,0.93144,0.96779,0.91221,0.36258,0.34093,0.85544,0.004832,0.004832,0.004832
14,680.331,0.64939,0.6653,1.10218,0.95922,0.93763,0.96469,0.91576,0.34066,0.32852,0.83983,0.004568,0.004568,0.004568
15,727.916,0.62755,0.64135,1.09097,0.96124,0.94518,0.96738,0.91752,0.32971,0.31957,0.83798,0.004304,0.004304,0.004304
16,775.105,0.62136,0.62324,1.08614,0.97571,0.94036,0.96922,0.91919,0.33723,0.31238,0.84026,0.00404,0.00404,0.00404
17,822.52,0.60459,0.60785,1.07923,0.96958,0.93741,0.96639,0.92195,0.31612,0.30061,0.82243,0.003776,0.003776,0.003776
18,870.277,0.59338,0.58685,1.07408,0.97723,0.94457,0.97066,0.93195,0.29745,0.28203,0.81453,0.003512,0.003512,0.003512
19,919.152,0.58021,0.5662,1.06092,0.98527,0.93997,0.9715,0.93646,0.27628,0.26847,0.80783,0.003248,0.003248,0.003248
20,967.949,0.57087,0.55552,1.0598,0.97554,0.9458,0.97301,0.93957,0.27868,0.26708,0.80933,0.002984,0.002984,0.002984
21,1033.7,0.48351,0.45701,1.01895,0.97937,0.94589,0.97331,0.93605,0.28722,0.27997,0.8109,0.00272,0.00272,0.00272
22,1080.45,0.46134,0.42693,1.00679,0.96895,0.95181,0.97248,0.93768,0.27821,0.26267,0.80776,0.002456,0.002456,0.002456
23,1128.21,0.44225,0.40744,0.99429,0.98146,0.94641,0.97435,0.94526,0.2597,0.25267,0.79588,0.002192,0.002192,0.002192
24,1175.48,0.42707,0.38785,0.98593,0.98121,0.94474,0.97439,0.94776,0.24974,0.24672,0.78796,0.001928,0.001928,0.001928
25,1221.43,0.40951,0.36851,0.9732,0.98355,0.94766,0.97915,0.95083,0.24166,0.23758,0.78823,0.001664,0.001664,0.001664
26,1268.55,0.39518,0.35223,0.96639,0.98536,0.94605,0.97731,0.95083,0.23456,0.23425,0.78822,0.0014,0.0014,0.0014
27,1314.92,0.38248,0.341,0.95682,0.97767,0.94913,0.979,0.9557,0.22566,0.22932,0.78234,0.001136,0.001136,0.001136
28,1361.77,0.36782,0.32786,0.94834,0.98527,0.94752,0.97957,0.95888,0.21245,0.21509,0.77796,0.000872,0.000872,0.000872
29,1408.47,0.3552,0.31373,0.93882,0.9825,0.9478,0.97881,0.95884,0.21364,0.21362,0.77743,0.000608,0.000608,0.000608
30,1455.66,0.34247,0.30461,0.93421,0.97081,0.9556,0.97954,0.95994,0.20781,0.21127,0.77625,0.000344,0.000344,0.000344
