epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.6784,0.71483,2.24196,1.20723,0.83417,0.75871,0.84331,0.6925,0.63034,1.11678,1.06805,0.00332923,0.00332923,0.00332923
2,179.405,0.69758,1.25843,1.15989,0.87234,0.79819,0.87913,0.72499,0.62858,0.95993,1.07927,0.00639873,0.00639873,0.00639873
3,263.397,0.76292,1.11402,1.19088,0.76229,0.69568,0.78442,0.60231,0.83397,1.20635,1.27129,0.00920422,0.00920422,0.00920422
4,347.779,0.80241,1.00657,1.21285,0.89718,0.84282,0.90712,0.76574,0.60674,0.68324,1.03567,0.008812,0.008812,0.008812
5,432.652,0.72373,0.82898,1.16182,0.89452,0.85345,0.91509,0.78985,0.56058,0.61562,1.01117,0.008416,0.008416,0.008416
6,517.337,0.67649,0.73548,1.1319,0.94265,0.9145,0.95066,0.85951,0.44533,0.44433,0.91157,0.00802,0.00802,0.00802
7,601.915,0.64272,0.67663,1.11246,0.94757,0.9128,0.95354,0.86871,0.42773,0.42303,0.89688,0.007624,0.007624,0.007624
8,686.474,0.61688,0.63997,1.09657,0.95987,0.91634,0.96145,0.8968,0.36174,0.35609,0.85022,0.007228,0.007228,0.007228
9,770.843,0.5916,0.59992,1.08113,0.95955,0.92973,0.96266,0.90281,0.35072,0.34526,0.84031,0.006832,0.006832,0.006832
10,855.262,0.56761,0.5776,1.06838,0.96418,0.92692,0.96361,0.91105,0.32807,0.33374,0.82902,0.006436,0.006436,0.006436
11,939.613,0.55222,0.55017,1.06019,0.96474,0.92337,0.96379,0.91447,0.31523,0.31749,0.8173,0.00604,0.00604,0.00604
12,1023.93,0.53322,0.52716,1.04711,0.97018,0.93044,0.96508,0.92068,0.29381,0.29695,0.80569,0.005644,0.005644,0.005644
13,1107.81,0.51879,0.51025,1.03947,0.97074,0.93138,0.96825,0.93029,0.27857,0.28424,0.79232,0.005248,0.005248,0.005248
14,1192.07,0.5066,0.4911,1.03548,0.96747,0.93977,0.97007,0.93147,0.2745,0.27924,0.79354,0.004852,0.004852,0.004852
15,1277.17,0.49343,0.47684,1.02715,0.96862,0.94212,0.97354,0.93672,0.26448,0.26019,0.78985,0.004456,0.004456,0.004456
16,1377.97,0.40699,0.38822,0.97806,0.96631,0.94209,0.97295,0.93632,0.26137,0.26256,0.78466,0.00406,0.00406,0.00406
17,1460.97,0.38783,0.36197,0.9604,0.96832,0.94262,0.97584,0.94205,0.25354,0.25354,0.77501,0.003664,0.003664,0.003664
18,1544.33,0.37012,0.34615,0.94773,0.96728,0.94597,0.97696,0.94701,0.23501,0.23459,0.76493,0.003268,0.003268,0.003268
19,1627.9,0.35133,0.32466,0.93544,0.97091,0.94225,0.97642,0.94818,0.23033,0.23103,0.76408,0.002872,0.002872,0.002872
20,1711.2,0.33872,0.31244,0.92799,0.96999,0.94432,0.97892,0.9519,0.2205,0.22178,0.75857,0.002476,0.002476,0.002476
21,1794.64,0.32105,0.29364,0.91633,0.96921,0.95329,0.97944,0.95516,0.21213,0.21325,0.75534,0.00208,0.00208,0.00208
22,1878.49,0.30954,0.28336,0.90971,0.97271,0.95081,0.98006,0.95581,0.21166,0.21007,0.7527,0.001684,0.001684,0.001684
23,1961.99,0.29475,0.26787,0.90157,0.97898,0.94867,0.98111,0.95818,0.20328,0.20304,0.74843,0.001288,0.001288,0.001288
24,2045.57,0.28193,0.25356,0.89354,0.97708,0.94879,0.98154,0.96016,0.19781,0.19827,0.74441,0.000892,0.000892,0.000892
25,2128.94,0.26861,0.2447,0.8872,0.97406,0.95193,0.98086,0.961,0.19449,0.19646,0.74345,0.000496,0.000496,0.000496
